obs_id,pkt_num,syn_num,mu_len,std_len,ip_ent,port_ent,silence_ratio,mu_silence,std_silence
65.0,744.0,0.0,89.3239247311828,197.49845151883704,0.07222216249411663,0.048268648766538136,0.0,0.0,0.0
66.0,503.0,0.0,102.2544731610338,225.01659504710142,0.10388608648965211,0.08039748713288077,0.0,0.0,0.0
67.0,247.0,0.0,121.74898785425101,246.58142373537433,0.1985884065852751,0.11950310860409165,0.06666666666666667,1.0,0.0
68.0,86.0,0.0,323.54651162790697,445.8563398042527,0.5978443277701112,0.32001486274754654,0.06666666666666667,1.0,0.0
69.0,238.0,0.0,150.51260504201682,306.68631129965996,0.2512556867422997,0.12311463565031058,0.06666666666666667,1.0,0.0
70.0,231.0,0.0,146.58008658008657,304.78788499799487,0.25522517729752475,0.15057983803826872,0.06666666666666667,1.0,0.0
71.0,337.0,0.0,115.39762611275964,231.5013617004058,0.2162133568097681,0.09294603864556675,0.06666666666666667,1.0,0.0
72.0,335.0,0.0,134.1731343283582,243.72164179904246,0.25915488153786415,0.14643954812383725,0.06666666666666667,1.0,0.0
73.0,648.0,0.0,105.96296296296296,188.60039697564,0.15856296361608732,0.11496029836169212,0.0,0.0,0.0
74.0,755.0,0.0,100.50728476821192,180.76159964770463,0.09731192547888445,0.09327182371788739,0.0,0.0,0.0
75.0,892.0,0.0,90.20067264573991,156.2255077830082,0.0549650653580093,0.04998663588501266,0.0,0.0,0.0
76.0,852.0,0.0,79.32511737089202,133.6489030079221,0.023344834206390407,0.0,0.0,0.0,0.0
77.0,882.0,0.0,69.03287981859411,97.97478762222696,0.041013631244498486,0.0,0.0,0.0,0.0
78.0,843.0,0.0,70.42467378410439,126.64388554013881,0.053478957908331334,0.0,0.0,0.0,0.0
79.0,614.0,0.0,88.01954397394137,187.1455466851715,0.24238386692063724,0.0,0.13333333333333333,2.0,0.0
80.0,757.0,12.0,99.08190224570674,194.13933264097648,0.6980185541347194,0.0,0.13333333333333333,2.0,0.0
81.0,944.0,24.0,99.69491525423729,173.6143267869066,0.7726954831305449,0.0,0.13333333333333333,2.0,0.0
82.0,1254.0,24.0,84.39792663476874,129.71516592142697,0.7157096443829913,0.0,0.0,0.0,0.0
83.0,1167.0,12.0,73.73607540702656,100.7855295887568,0.5949482078709032,0.0,0.0,0.0,0.0
84.0,1142.0,0.0,61.6138353765324,71.3101849007479,0.4492061224046983,0.0,0.0,0.0,0.0
85.0,1186.0,12.0,73.61888701517707,110.29926995171363,0.4648222985554995,0.0,0.0,0.0,0.0
